TRADEDATE,BOARDID,SECID,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
2005-01-12,RTSI,RTSI,Индекс РТС,Индекс РТС,605.46,607.55,609.33,604.91,10296081.0,,,2,47902309458.8581,USD,
2005-01-13,RTSI,RTSI,Индекс РТС,Индекс РТС,605.21,605.72,608.11,605.21,4067754.0,,,2,47882614673.4234,USD,
2005-01-14,RTSI,RTSI,Индекс РТС,Индекс РТС,611.74,605.19,611.76,604.95,5470850.0,,,2,48399517148.4017,USD,
2005-01-17,RTSI,RTSI,Индекс РТС,Индекс РТС,613.62,611.86,614.2,611.77,3225011.0,,,2,48548105371.0528,USD,
2005-01-18,RTSI,RTSI,Индекс РТС,Индекс РТС,601.76,612.97,612.97,600.57,7065909.0,,,2,47616179404.2358,USD,
2005-01-19,RTSI,RTSI,Индекс РТС,Индекс РТС,599.52,601.47,601.47,598.89,5560475.0,,,2,47438445264.8461,USD,
2005-01-20,RTSI,RTSI,Индекс РТС,Индекс РТС,591.67,598.55,598.68,590.85,12476528.0,,,2,46817306541.3141,USD,
2005-01-21,RTSI,RTSI,Индекс РТС,Индекс РТС,593.22,591.27,593.28,590.62,4906998.0,,,2,46940354282.192,USD,
2005-01-24,RTSI,RTSI,Индекс РТС,Индекс РТС,599.71,593.34,600.15,593.34,15553728.0,,,2,47454256465.7027,USD,
2005-01-25,RTSI,RTSI,Индекс РТС,Индекс РТС,607.14,600.6,608.71,600.6,11297560.0,,,2,48041505325.8468,USD,
2005-01-26,RTSI,RTSI,Индекс РТС,Индекс РТС,605.31,607.06,608.29,601.81,10649561.0,,,2,47896897742.7655,USD,
2005-01-27,RTSI,RTSI,Индекс РТС,Индекс РТС,612.24,605.42,612.24,605.42,20794176.0,,,2,48445564208.4942,USD,
2005-01-28,RTSI,RTSI,Индекс РТС,Индекс РТС,625.15,610.63,625.15,609.79,26712375.0,,,2,49467156700.3421,USD,
2005-01-31,RTSI,RTSI,Индекс РТС,Индекс РТС,637.21,625.05,640.41,625.01,28646030.0,,,2,50420930065.7934,USD,
2005-02-01,RTSI,RTSI,Индекс РТС,Индекс РТС,640.32,637.2,640.32,634.74,26153360.0,,,2,50667172197.0268,USD,
2005-02-02,RTSI,RTSI,Индекс РТС,Индекс РТС,650.98,640.33,652.46,640.33,32092769.0,,,2,51511137486.8972,USD,
2005-02-03,RTSI,RTSI,Индекс РТС,Индекс РТС,654.84,651.17,655.84,649.72,25429640.0,,,2,51816047806.705,USD,
2005-02-04,RTSI,RTSI,Индекс РТС,Индекс РТС,654.63,655.44,655.44,651.75,21359041.0,,,2,51799293799.5235,USD,
2005-02-07,RTSI,RTSI,Индекс РТС,Индекс РТС,656.59,654.66,661.1,654.65,24891143.0,,,2,51954740505.8877,USD,
2005-02-08,RTSI,RTSI,Индекс РТС,Индекс РТС,654.96,656.27,656.27,652.8,13471125.0,,,2,51825387650.5552,USD,
2005-02-09,RTSI,RTSI,Индекс РТС,Индекс РТС,656.59,654.95,658.1,654.54,21794017.0,,,2,51954975527.1311,USD,
2005-02-10,RTSI,RTSI,Индекс РТС,Индекс РТС,654.6,656.39,656.39,649.28,9674010.0,,,2,51796974772.6234,USD,
2005-02-11,RTSI,RTSI,Индекс РТС,Индекс РТС,655.04,654.22,655.05,651.04,11742037.0,,,2,51832073577.976,USD,
2005-02-14,RTSI,RTSI,Индекс РТС,Индекс РТС,653.65,655.39,657.92,653.47,11089011.0,,,2,51721790840.8332,USD,
2005-02-15,RTSI,RTSI,Индекс РТС,Индекс РТС,658.66,653.71,659.36,653.06,12948025.0,,,2,52118330366.5606,USD,
2005-02-16,RTSI,RTSI,Индекс РТС,Индекс РТС,661.99,658.72,664.21,658.72,19998638.0,,,2,52381688324.3424,USD,
2005-02-17,RTSI,RTSI,Индекс РТС,Индекс РТС,665.69,661.28,665.79,660.83,17145506.0,,,2,52674922064.8979,USD,
2005-02-18,RTSI,RTSI,Индекс РТС,Индекс РТС,669.08,665.58,670.28,665.4,21426593.0,,,2,52943291306.0543,USD,
2005-02-21,RTSI,RTSI,Индекс РТС,Индекс РТС,674.62,669.62,674.63,669.62,13128482.0,,,2,53381159150.243,USD,
2005-02-22,RTSI,RTSI,Индекс РТС,Индекс РТС,673.13,674.5,677.31,672.61,29987626.0,,,2,53263632046.6631,USD,
2005-02-24,RTSI,RTSI,Индекс РТС,Индекс РТС,690.23,675.47,690.23,675.47,46166090.0,,,2,54616379493.2698,USD,
2005-02-25,RTSI,RTSI,Индекс РТС,Индекс РТС,701.35,691.0,701.35,691.0,27144788.0,,,2,55496573613.0148,USD,
2005-02-28,RTSI,RTSI,Индекс РТС,Индекс РТС,716.42,701.42,716.59,701.42,31060001.0,,,2,56688755052.1542,USD,
2005-03-01,RTSI,RTSI,Индекс РТС,Индекс РТС,714.1,716.5,718.43,714.07,21498187.0,,,2,56505114316.8182,USD,
2005-03-02,RTSI,RTSI,Индекс РТС,Индекс РТС,704.05,714.11,716.52,704.05,24433195.0,,,2,55710127431.5147,USD,
2005-03-03,RTSI,RTSI,Индекс РТС,Индекс РТС,702.58,704.02,705.73,702.01,19402923.0,,,2,55594090167.5422,USD,
2005-03-04,RTSI,RTSI,Индекс РТС,Индекс РТС,706.76,702.43,707.61,702.42,18904733.0,,,2,55924508291.2352,USD,
2005-03-05,RTSI,RTSI,Индекс РТС,Индекс РТС,712.03,706.75,712.03,706.75,6341422.0,,,2,56341295775.4955,USD,
2005-03-09,RTSI,RTSI,Индекс РТС,Индекс РТС,716.83,713.0,722.16,713.0,19718459.0,,,2,56721586235.4732,USD,
2005-03-10,RTSI,RTSI,Индекс РТС,Индекс РТС,705.95,714.92,715.09,705.66,16796635.0,,,2,55860771544.3286,USD,
2005-03-11,RTSI,RTSI,Индекс РТС,Индекс РТС,704.54,705.37,705.42,699.45,24604547.0,,,2,55748270690.2092,USD,
2005-03-14,RTSI,RTSI,Индекс РТС,Индекс РТС,697.54,704.55,704.55,697.54,13469849.0,,,2,55195082693.4216,USD,
2005-03-15,RTSI,RTSI,Индекс РТС,Индекс РТС,698.71,698.52,700.29,697.12,15681431.0,,,2,55287063345.0657,USD,
2005-03-16,RTSI,RTSI,Индекс РТС,Индекс РТС,677.12,698.74,698.78,676.66,31375715.0,,,2,53579096096.3836,USD,
2005-03-17,RTSI,RTSI,Индекс РТС,Индекс РТС,680.21,677.25,681.96,677.24,11883528.0,,,2,53823725754.0552,USD,
2005-03-18,RTSI,RTSI,Индекс РТС,Индекс РТС,679.27,680.69,685.39,679.27,14009146.0,,,2,53749150310.7827,USD,
2005-03-21,RTSI,RTSI,Индекс РТС,Индекс РТС,667.23,679.3,680.12,667.23,17303936.0,,,2,52796348211.3547,USD,
2005-03-22,RTSI,RTSI,Индекс РТС,Индекс РТС,674.29,667.19,674.29,667.14,11282181.0,,,2,53354886335.3599,USD,
2005-03-23,RTSI,RTSI,Индекс РТС,Индекс РТС,661.95,674.39,674.39,658.36,30308421.0,,,2,52378694998.9795,USD,
2005-03-24,RTSI,RTSI,Индекс РТС,Индекс РТС,678.7,662.05,678.73,662.05,17818332.0,,,2,53703897259.0378,USD,
2005-03-25,RTSI,RTSI,Индекс РТС,Индекс РТС,686.54,678.82,686.54,678.8,8230132.0,,,2,54324503737.8789,USD,
2005-03-28,RTSI,RTSI,Индекс РТС,Индекс РТС,680.52,685.21,685.21,678.89,6356685.0,,,2,53847734145.1245,USD,
2005-03-29,RTSI,RTSI,Индекс РТС,Индекс РТС,674.48,680.53,681.63,674.48,8363316.0,,,2,53370282817.7762,USD,
2005-03-30,RTSI,RTSI,Индекс РТС,Индекс РТС,665.33,674.21,674.46,664.59,18791422.0,,,2,52645889931.0684,USD,
2005-03-31,RTSI,RTSI,Индекс РТС,Индекс РТС,669.07,665.38,669.42,665.12,6729879.0,,,2,52941630864.6268,USD,
2005-04-01,RTSI,RTSI,Индекс РТС,Индекс РТС,680.38,669.06,680.38,669.06,7660522.0,,,2,54004848846.1904,USD,
2005-04-04,RTSI,RTSI,Индекс РТС,Индекс РТС,688.74,680.43,690.32,680.43,21289994.0,,,2,54668072543.1703,USD,
2005-04-05,RTSI,RTSI,Индекс РТС,Индекс РТС,691.52,687.01,691.64,685.26,9776635.0,,,2,54888766593.3501,USD,
2005-04-06,RTSI,RTSI,Индекс РТС,Индекс РТС,708.34,691.6,708.34,691.6,33944897.0,,,2,56224351202.1458,USD,
2005-04-07,RTSI,RTSI,Индекс РТС,Индекс РТС,710.75,708.39,715.76,708.39,28363320.0,,,2,56415032850.5962,USD,
2005-04-08,RTSI,RTSI,Индекс РТС,Индекс РТС,719.74,709.95,719.74,709.36,10791462.0,,,2,57129052920.997,USD,
2005-04-11,RTSI,RTSI,Индекс РТС,Индекс РТС,701.61,719.74,719.74,695.15,29267530.0,,,2,55689742816.1732,USD,
2005-04-12,RTSI,RTSI,Индекс РТС,Индекс РТС,698.18,701.61,703.71,696.53,19197795.0,,,2,55417541109.8813,USD,
2005-04-13,RTSI,RTSI,Индекс РТС,Индекс РТС,705.84,697.8,708.41,697.8,20394016.0,,,2,56025465348.5351,USD,
2005-04-14,RTSI,RTSI,Индекс РТС,Индекс РТС,692.92,705.64,705.64,690.04,32653293.0,,,2,55000037942.9966,USD,
2005-04-15,RTSI,RTSI,Индекс РТС,Индекс РТС,688.9,691.66,691.92,685.56,12233050.0,,,2,54681329166.4433,USD,
2005-04-18,RTSI,RTSI,Индекс РТС,Индекс РТС,674.96,687.93,687.93,671.89,14115475.0,,,2,53574657290.5124,USD,
2005-04-19,RTSI,RTSI,Индекс РТС,Индекс РТС,673.05,674.87,677.54,673.05,9087254.0,,,2,53423121115.4476,USD,
2005-04-20,RTSI,RTSI,Индекс РТС,Индекс РТС,675.75,675.53,679.19,675.32,10086762.0,,,2,53636964231.0222,USD,
2005-04-21,RTSI,RTSI,Индекс РТС,Индекс РТС,681.74,675.8,681.74,675.23,10045908.0,,,2,54112839108.293,USD,
2005-04-22,RTSI,RTSI,Индекс РТС,Индекс РТС,686.72,682.21,688.02,682.21,16240709.0,,,2,54508198311.2429,USD,
