<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.RTSI,1,20180103,10:01:00,1156.4400000,1159.2400000,1156.2800000,1158.6500000,6235075
RI.RTSI,1,20180103,10:02:00,1158.6300000,1159.7800000,1158.6200000,1158.7700000,1003584
RI.RTSI,1,20180103,10:03:00,1158.8700000,1159.7800000,1158.8000000,1159.7700000,989921
RI.RTSI,1,20180103,10:04:00,1159.7600000,1160.6100000,1159.6900000,1160.4600000,946679
RI.RTSI,1,20180103,10:05:00,1160.4800000,1161.4700000,1159.9700000,1161.4700000,1410673
RI.RTSI,1,20180103,10:06:00,1161.6300000,1162.3600000,1160.8800000,1160.8800000,1987129
RI.RTSI,1,20180103,10:07:00,1160.8200000,1160.8200000,1160.4100000,1160.4100000,599712
RI.RTSI,1,20180103,10:11:00,1163.2900000,1163.2900000,1163.1500000,1163.2900000,3250095
RI.RTSI,1,20180103,10:12:00,1163.2900000,1163.7200000,1163.2900000,1163.5500000,554347
RI.RTSI,1,20180103,10:13:00,1163.5700000,1164.1300000,1163.3300000,1164.0600000,1030208
RI.RTSI,1,20180103,10:14:00,1164.0600000,1164.2200000,1163.5800000,1164.2200000,629539
RI.RTSI,1,20180103,10:15:00,1164.5100000,1164.6900000,1164.3800000,1164.5400000,623802
RI.RTSI,1,20180103,10:16:00,1164.5400000,1164.9200000,1164.4400000,1164.9200000,778500
RI.RTSI,1,20180103,10:17:00,1165.0000000,1165.3100000,1164.9600000,1165.1300000,500328
RI.RTSI,1,20180103,10:18:00,1165.1300000,1165.1300000,1164.6400000,1164.7200000,683235
RI.RTSI,1,20180103,10:19:00,1164.7200000,1164.8400000,1164.5800000,1164.7200000,526807
RI.RTSI,1,20180103,10:20:00,1164.7200000,1164.7600000,1163.8600000,1164.1400000,1739353
RI.RTSI,1,20180103,10:21:00,1164.1400000,1164.1400000,1163.6800000,1163.7600000,732927
RI.RTSI,1,20180103,10:22:00,1163.7600000,1163.8400000,1163.2300000,1163.3300000,312849
RI.RTSI,1,20180103,10:23:00,1163.3100000,1163.6600000,1163.2700000,1163.6600000,254761
RI.RTSI,1,20180103,10:24:00,1163.6600000,1163.7200000,1163.4400000,1163.6100000,243386
RI.RTSI,1,20180103,10:25:00,1163.6100000,1163.8000000,1163.5300000,1163.7900000,283157
RI.RTSI,1,20180103,10:26:00,1163.8300000,1164.1200000,1163.8300000,1164.0700000,583241
RI.RTSI,1,20180103,10:27:00,1164.0600000,1164.1500000,1164.0100000,1164.1300000,816235
RI.RTSI,1,20180103,10:28:00,1164.0900000,1164.0900000,1163.7000000,1163.8400000,474259
RI.RTSI,1,20180103,10:29:00,1163.8300000,1163.9800000,1163.7500000,1163.7700000,251984
RI.RTSI,1,20180103,10:30:00,1163.8100000,1163.8700000,1163.7600000,1163.8300000,472807
RI.RTSI,1,20180103,10:31:00,1163.8300000,1164.4700000,1163.8300000,1164.4100000,427738
RI.RTSI,1,20180103,10:32:00,1164.4000000,1164.7500000,1164.3100000,1164.6000000,589733
RI.RTSI,1,20180103,10:33:00,1164.6000000,1164.8700000,1164.5200000,1164.8700000,389562
RI.RTSI,1,20180103,10:34:00,1164.8700000,1165.2100000,1164.8600000,1165.1700000,464663
RI.RTSI,1,20180103,10:35:00,1165.1700000,1165.4800000,1165.1700000,1165.3300000,439551
RI.RTSI,1,20180103,10:36:00,1165.3300000,1166.1100000,1165.2700000,1166.1100000,709939
RI.RTSI,1,20180103,10:37:00,1166.1200000,1166.5500000,1166.0500000,1166.4400000,818183
RI.RTSI,1,20180103,10:38:00,1166.4500000,1166.8900000,1166.4400000,1166.8200000,967278
RI.RTSI,1,20180103,10:39:00,1166.8700000,1167.2500000,1166.5000000,1167.2500000,1057490
RI.RTSI,1,20180103,10:40:00,1167.2700000,1167.3300000,1167.1000000,1167.3300000,938587
RI.RTSI,1,20180103,10:41:00,1167.3100000,1167.8700000,1167.3100000,1167.7900000,731107
RI.RTSI,1,20180103,10:42:00,1167.8000000,1169.1800000,1167.8000000,1168.4800000,2883588
RI.RTSI,1,20180103,10:43:00,1168.3800000,1168.4800000,1167.8000000,1168.0300000,676837
