<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,095935,163.990000000,10
SBER,0,20170721,095935,163.990000000,960
SBER,0,20170721,095935,163.990000000,40
SBER,0,20170721,095935,163.990000000,10
SBER,0,20170721,095935,163.990000000,490
SBER,0,20170721,095935,163.990000000,2090
SBER,0,20170721,095935,163.990000000,50
SBER,0,20170721,095935,163.990000000,2380
SBER,0,20170721,095935,163.990000000,20
SBER,0,20170721,095935,163.990000000,10
SBER,0,20170721,095935,163.990000000,1460
SBER,0,20170721,095935,163.990000000,60
SBER,0,20170721,095935,163.990000000,1480
SBER,0,20170721,095935,163.990000000,560
SBER,0,20170721,095935,163.990000000,1650
SBER,0,20170721,095935,163.990000000,390
SBER,0,20170721,095935,163.990000000,20
SBER,0,20170721,095935,163.990000000,670
SBER,0,20170721,095935,163.990000000,10
SBER,0,20170721,095935,163.990000000,4320
SBER,0,20170721,095935,163.990000000,20
SBER,0,20170721,095935,163.990000000,4000
SBER,0,20170721,095935,163.990000000,660
SBER,0,20170721,095935,163.990000000,500
SBER,0,20170721,095935,163.990000000,1000
SBER,0,20170721,095935,163.990000000,300
SBER,0,20170721,100000,163.960000000,2630
SBER,0,20170721,100000,163.960000000,960
SBER,0,20170721,100001,163.960000000,800
SBER,0,20170721,100001,163.960000000,100
SBER,0,20170721,100001,163.930000000,20
SBER,0,20170721,100001,163.980000000,730
SBER,0,20170721,100001,163.980000000,300
SBER,0,20170721,100001,163.980000000,800
SBER,0,20170721,100001,163.980000000,250
SBER,0,20170721,100001,163.990000000,150
SBER,0,20170721,100003,163.850000000,10
SBER,0,20170721,100003,163.860000000,300
SBER,0,20170721,100003,163.830000000,180
SBER,0,20170721,100003,163.820000000,170
SBER,0,20170721,100004,163.820000000,110
SBER,0,20170721,100004,163.820000000,230
SBER,0,20170721,100005,163.820000000,600
SBER,0,20170721,100007,163.820000000,600
SBER,0,20170721,100007,163.840000000,700
SBER,0,20170721,100008,163.770000000,600
SBER,0,20170721,100009,163.770000000,50
SBER,0,20170721,100009,163.760000000,20
SBER,0,20170721,100009,163.760000000,230
SBER,0,20170721,100010,163.730000000,50
SBER,0,20170721,100010,163.790000000,20
SBER,0,20170721,100011,163.790000000,80
SBER,0,20170721,100012,163.780000000,30
SBER,0,20170721,100013,163.780000000,200
SBER,0,20170721,100013,163.780000000,10
SBER,0,20170721,100018,163.750000000,1000
SBER,0,20170721,100021,163.780000000,30
SBER,0,20170721,100021,163.780000000,20
SBER,0,20170721,100021,163.780000000,490
SBER,0,20170721,100021,163.780000000,2100
SBER,0,20170721,100021,163.780000000,130
SBER,0,20170721,100021,163.780000000,30
SBER,0,20170721,100021,163.790000000,200
SBER,0,20170721,100022,163.770000000,30
SBER,0,20170721,100025,163.780000000,420
SBER,0,20170721,100025,163.780000000,100
SBER,0,20170721,100025,163.780000000,2080
SBER,0,20170721,100026,163.770000000,1000
SBER,0,20170721,100027,163.780000000,2420
SBER,0,20170721,100027,163.780000000,970
SBER,0,20170721,100027,163.780000000,840
SBER,0,20170721,100027,163.790000000,280
SBER,0,20170721,100029,163.800000000,750
SBER,0,20170721,100029,163.840000000,250
